linc_#,prop_class,area_city,community,address,status,list_price,postal_code,sold_date,sold_price,listing_id_#,dom,flrarea_sf,totflrarea,rooms_ag,bedrms_ag,beds,full_baths,half_baths,baths,ensuite,yr_built,style,front_exp,frontagem,fp_y_n,encl_park,parking,condo_name,construction_type,flooring,list_pr___sqft,#_finished_levels,cumulative_dom,cumulative_domls,days_on_mls,bsmt_dev,garage_y_n,price_per_sqft,sold_pr___list_pr_ratio,price,sold_price_sq_ft,buyer_firm_1_-_office_name,listing_firm_1_-_office_name,legal_block,legal_lot,lot_sq_metres,legal_plan,full_address,location,latitude,longitude
18647032,SF,Edmonton,Ritchie,9753 76 Avenue NW,S,139500,,2004-03-09,133000,E2331003,88,775.0,72.0,3,1,3,2,0,2.0,N,1928,BUNG,N,0.0,N,1,"Rear Drive Access, Single Garage Detached",,FRAME,Laminate Flooring,180.0,2,88,85,85,F-FIN,No,171.61,95.34,133000,171.61,RE/MAX Excellence,RE/MAX Excellence,2,3,0.0,2239X,"9753 76 Avenue NW, Edmonton, Alberta, Canada","9753, 76 Avenue NW, Ritchie, Mill Creek South, Greater Strathcona, Edmonton, Alberta, T6E 1M3, Canada",53.5121119,-113.4823398
15159651,SF,Edmonton,Montrose,12014 59 Street,S,299900,T5W 3Y2,2013-06-24,295000,E3340759,19,869.72,80.8,4,2,3,2,0,2.0,N,1953,BUNG,E,0.0,N,1,Single Garage Detached,,FRAME,"Laminate Flooring, Linoleum",344.82,2,19,19,19,F-FIN,Yes,339.19,98.37,295000,339.19,RE/MAX River City,RE/MAX River City,23,3,559.66,1854HW,"12014 59 Street, Edmonton, Alberta, Canada","12014, 59 Street NW, Montrose, Greater Highlands, Edmonton, Alberta, T5W 4C7, Canada",53.5734785,-113.4323835
10522408,SF,Edmonton,Dechene,18214 57 Avenue,S,369000,T6M 1V9,2011-02-15,360000,E3246567,47,1734.06,161.1,7,4,4,2,1,2.1,Y,1984,SPLT4,SE,0.0,Y,2,Double Garage Attached,,FRAME,"Carpet, Ceramic Tile, Laminate Flooring",212.79,3,47,47,47,U-FIN,Yes,207.6,97.56,360000,207.6,MaxWell Polaris,RE/MAX Excellence,23,48,721.54,8021945,"18214 57 Avenue, Edmonton, Alberta, Canada","18214, 57 Avenue NW, Dechene, Willowby, West Jasper Place, Edmonton, Alberta, T6M 2L9, Canada",53.4918452,-113.6377744
29186871,COND,Edmonton,Rossdale,412 9804 101 Street,S,275000,T5K 3X2,2010-02-15,265000,E3204244,106,906.32,84.2,4,2,2,1,0,1.0,N,2001,PENTH,S,0.0,N,1,Underground,Rossdale Court,FRAME,"Carpet, Linoleum",303.42,1,106,102,102,,No,292.39,96.36,265000,292.39,RE/MAX Elite,RE/MAX Real Estate,,,47.03,220462,"412 9804 101 Street, Edmonton, Alberta, Canada",,,
31417363,SF,Edmonton,Charlesworth,155 63 Street,S,399999,T6X 0B8,2017-11-25,390000,E4088294,15,1532.03,142.33,6,3,4,3,1,3.1,Y,2006,ST2,W,0.0,N,0,"Double Garage Detached, On Street",,FRAME,"Carpet, Hardwood",261.09,3,15,15,15,F-FIN,Yes,254.56,97.5,390000,254.56,REALTORSÂ® Association of Edmonton,Professional Realty Group,3,4,0.0,526195,"155 63 Street, Edmonton, Alberta, Canada","63 Street NW, McLeod, Casselman-Steele Heights, Edmonton, Alberta, T5A 2E9, Canada",53.611702,-113.4389163
38793220,DUPLEX,Edmonton,Desrochers Area,980 DANIELS Loop,S,499900,T6W 1A8,2025-01-12,490000,E4408908,101,1611.25,149.69,8,3,3,2,1,2.1,Y,2024,ST2,W,0.0,N,0,Double Garage Attached,,FRAME,"Carpet, Laminate Flooring, Non-Ceramic Tile",310.26,2,101,101,101,U-FIN,Yes,304.11,98.02,490000,304.11,Exp Realty,Century 21 All Stars Realty Ltd,4,136,362.96,2120166,"980 DANIELS Loop, Edmonton, Alberta, Canada","Daniels Loop SW, Desrochers, Heritage Valley, Edmonton, Alberta, T6W 1A7, Canada",53.3969713,-113.5435204
13663539,SF,Edmonton,Balwin,12840 81 Street,S,274900,T5C 1N2,2011-03-01,266500,E3251031,15,1047.44,97.31,6,3,4,2,0,2.0,N,1960,BUNG,E,14.9,N,3,"Double Garage Detached, Single Garage Detached",,FRAME,"Carpet, Laminate Flooring, Linoleum",262.45,2,15,14,14,F-FIN,Yes,254.43,96.94,266500,254.43,RE/MAX Elite,RE/MAX Real Estate,1,19,555.48,5964KS,"12840 81 Street, Edmonton, Alberta, Canada","12840, 81 Street NW, Balwin, Northern Mature Area, Edmonton, Alberta, T5C 1Y2, Canada",53.587192,-113.4656592
0037999794,COND,Edmonton,Rosenthal,#25 1075 ROSENTHAL Boulevard,S,358000,T5T 7G5,2022-10-06,353000,E4313629,21,1562.92,145.2,3,3,3,2,1,2.1,Y,2018,ST2,S,0.0,N,0,Double Garage Attached,The Strand in Rosenthal,FRAME,"Carpet, Ceramic Tile, Laminate Flooring",229.06,3,21,21,21,NBASE,Yes,225.86,98.6,353000,225.86,Century 21 Bamber Realty Ltd,Re/Max Excellence,,,204.71,1624197,"#25 1075 ROSENTHAL Boulevard, Edmonton, Alberta, Canada",,,
11110285,SF,Edmonton,Prince Rupert,11303 113A Avenue,S,299900,T5G 0J3,2008-11-26,289000,E3163560,55,1054.86,98.0,5,2,3,2,0,2.0,N,1952,BUNG,NE,0.0,N,2,Double Garage Detached,,FRAME,"Carpet, Ceramic Tile, Hardwood",284.3,2,133,132,55,F-FIN,Yes,273.97,96.37,289000,273.97,Realty Executives North Star,RE/MAX Elite,13D,6,694.36,3299HW,"11303 113A Avenue, Edmonton, Alberta, Canada","11303, 113A Avenue NW, Prince Rupert, Western Mature Area, Edmonton, Alberta, T5G 2P9, Canada",53.5626213,-113.5163046
30170055,SF,Edmonton,Rutherford,12144 18 Avenue,S,399900,T6W 1L6,2008-03-11,399900,E3131623,13,1430.52,132.9,6,3,3,2,1,2.1,Y,2004,ST2,SW,0.0,Y,2,Double Garage Detached,,FRAME,"Carpet, Linoleum",279.55,2,13,12,12,U-FIN,Yes,279.55,100.0,399900,279.55,RE/MAX Advantage,RE/MAX Advantage,8,51,572.48,325366,"12144 18 Avenue, Edmonton, Alberta, Canada","12144, 18 Avenue SW, Rutherford, Heritage Point, Heritage Valley, Edmonton, Alberta, T6W 1P4, Canada",53.4161454,-113.5320889
15660384,SF,Edmonton,Wellington,12919 136 Avenue,S,314900,T5L 4B2,2010-11-21,283000,E3241430,42,1060.24,98.5,4,2,2,1,0,1.0,N,1959,BUNG,N,0.0,N,2,"Double Garage Detached, Over Sized",,FRAME,"Ceramic Tile, Hardwood, Laminate Flooring",297.01,1,42,42,42,P-FIN,Yes,266.92,89.87,283000,266.92,Bermont Realty (1983) Ltd,Bermont Realty (1983) Ltd,27,10,661.94,5570KS,"12919 136 Avenue, Edmonton, Alberta, Canada","12919, 136 Avenue NW, Wellington, Northern Mature Area, Edmonton, Alberta, T5L 3X6, Canada",53.5982141,-113.545227
30804728,COND,Edmonton,Belvedere,103 12838 65 Street,S,137000,T5A 5H3,2020-01-09,129000,E4176355,94,775.22,72.02,6,2,2,2,0,2.0,Y,2004,APART,E,0.0,N,1,"Heated, Parkade, Stall, Underground",Bonavista The,FRAME,"Carpet, Laminate Flooring",176.72,1,94,94,94,NBASE,No,166.41,94.16,129000,166.41,The Foundry Real Estate Company Ltd,RE/MAX Elite,,,48.56,426479,"103 12838 65 Street, Edmonton, Alberta, Canada",,,
31066590,SF,Edmonton,Griesbach,1412 Cyprus Way NW,S,499900,T5E 6N2,2010-02-18,495000,E3208849,29,2056.98,191.1,6,3,3,2,1,2.1,Y,2007,ST2,SW,0.0,Y,2,Double Garage Detached,,FRAME,"Ceramic Tile, Hardwood, Wall to Wall Carpet",243.03,2,111,111,29,U-FIN,Yes,240.64,99.02,495000,240.64,RE/MAX Elite,MaxWell Devonshire,8,6,412.84,522624,"1412 Cyprus Way NW, Edmonton, Alberta, Canada","1412, Cyprus Way NW, Griesbach, Edmonton, Alberta, T5E 6R8, Canada",53.6037565,-113.5008011
0039465183,SF,Edmonton,Secord,9332 229 Street,S,474500,T5T 4W8,2025-09-08,455000,E4444708,73,1396.08,129.7,7,3,3,2,1,2.1,Y,2025,ST2,E,0.0,N,0,Parking Pad Cement/Paved,,FRAME,"Carpet, Non-Ceramic Tile, Vinyl Plank",339.88,2,73,73,73,U-FIN,No,325.91,95.89,455000,325.91,Nationwide Realty Corp,MaxWell Challenge Realty,32,30,299.85,2320798,"9332 229 Street, Edmonton, Alberta, Canada","229 Street NW, Secord, Lewis Farms, Edmonton, Alberta, T5L 7R1, Canada",53.5369717,-113.7106421
25941873,COND,Edmonton,Royal Gardens,103 11415 41 Street NW,S,106900,,2002-04-20,104900,E2207775,1,871.88,81.0,5,2,2,1,0,1.0,N,1970,,N,0.0,N,0,Stall,Cedarbrae Gardens,BRICK,"Carpet, Linoleum",122.61,1,1,0,0,NBASE,No,120.32,98.13,104900,120.32,MaxWell Devonshire Realty,MaxWell Devonshire Realty,180,,0.0,9420614,"103 11415 41 Street NW, Edmonton, Alberta, Canada",,,
32748436,DUPLEX,Edmonton,South Terwillegar,4857 TERWILLEGAR Common,S,349900,T6R 3N9,2016-09-18,343000,E4029047,71,1337.95,124.3,5,2,2,2,1,2.1,Y,2009,ST2,N,7.5,Y,2,Double Garage Detached,,FRAME,"Carpet, Hardwood",261.52,2,71,71,71,U-FIN,Yes,256.36,98.03,343000,256.36,Homes & Gardens Real Estate Limited,RE/MAX Professionals,51,28,262.5,728680,"4857 TERWILLEGAR Common, Edmonton, Alberta, Canada","Terwillegar Common NW, South Terwillegar, Terwillegar Community, Terwillegar Heights, Edmonton, Alberta, T6R 0G5, Canada",53.4430613,-113.5770292
26848052,SF,Edmonton,Jamieson Place,19024 52 Avenue,S,399900,T6M 2R4,2006-10-31,399900,E3070835,32,1387.47,128.9,7,3,3,2,0,2.0,Y,1997,BUNG,S,0.0,Y,2,Double Garage Attached,,FRAME,"Carpet, Hardwood, Linoleum",288.22,1,32,32,32,U-FIN,Yes,288.22,100.0,399900,288.22,RE/MAX Excellence,RE/MAX Excellence,18,13,502.8,9623615,"19024 52 Avenue, Edmonton, Alberta, Canada","52 Avenue NW, Pleasantview, Edmonton, Alberta, T6H 0S4, Canada",53.4895909,-113.5130557
